clid,peco_l2
0,0.11677039336612427
1,0.03635462497041419
2,0.03267798000000001
3,0.1327876620747111
4,0.1230371509667819
5,0.06236804122448979
6,0.4083973421227888
7,0.01666067892473118
8,0.18655425116342236
9,0.014865156261925215
10,0.10939573623944455
11,0.02169531157102342
12,0.004959236198347104
13,0.07431389406480714
14,0.05727677263949347
15,0.1926860317322397
16,0.20183313911018946
17,0.0636117033774417
18,0.0731367992627824
19,0.042899300987654314
20,0.4089042790519967
21,0.022495282249478218
22,0.11478169258034894
23,0.27734268104700377
24,0.04510677240969364
25,0.40542349851851855
26,0.0021203172781065083
27,0.02927425684441197
28,0.11858869372412995
29,0.02449230759921533
30,0.08552336532651722
31,0.022034423455559515
32,0.05501377028736134
33,0.10551404392308991
34,0.16493619498040352
35,0.30177731098972427
36,0.016123917231063458
37,0.09761229221075116
38,0.2468011190405056
39,0.005859717055705719
40,0.09717296353909463
41,0.051006566874385394
42,0.014399780713860793
43,0.23039175332164513
44,0.003022594515169542
45,0.11434247999999997
46,0.04597853529131985
47,0.294665517489922
48,0.034952028771804915
49,0.035666099720881174
